工作名稱,公司,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件
AI工程師/資料工程師/資料科學家/機器學習工程師,域動行銷股份有限公司,"【工作內容】/【熱血團隊】域動Data Team是由一群對『數據分析』及『AI應用』具有研究及開發熱誠的成員所組成。在這裡你可以接觸到大量即時的使用者行為資料，並將資料科學模型應用於:『網路廣告投放優化』『網路用戶辨識』『消費者行為分析』我們更致力於尋找優化方案，改善產品體驗設計及為商業決策提供數據支持，提升效率和價值。我們鼓勵組員多方嘗試、思考、展現天馬行空的創意，且能清楚闡述想法，付諸實踐。 ٩(⚙ᴗ⚙)۶【環境氛圍】扁平化組織、歡樂上班氛圍，彼此隨時交流分享想法，不受任何侷限ㄟ(￣▽￣ㄟ)。總之，在Data Team不但可以接觸多元專案開發，藉此磨練專業知識的深度及廣度，幫助團隊的同時，也能突破自我，大幅成長。 ୧༼ ヘ ᗜ ヘ ༽୨歡迎您一起加入，成為未來數據應用趨勢的一份子！o(〃'▽'〃)o【Job Description】1. 使用資料科學技術剖析數據，協助產品成效優化及發展方向2. 負責資料收集、資料清理、模型建置等工作事項3. 協助處理網路使用者觀看的文本，進行關鍵字擷取、文本分類等NLP任務4. 廣告推薦系統建置及優化5. 數據視覺化報表產出【Qualifications】1. 熟悉 ML 相關知識2. 熟悉Python程式語言，包含Pandas, Numpy, Sklearn,Tensorflow, Pytorch等模組3. 熟悉Linux 系統操作4. 熟悉資料庫程式語言 SQL【Preferred Qualifications】1. 推薦系統處理專案經驗佳2. 自然語言處理專案經驗佳3. 曾參與ML相關研究、競賽或發表論文經驗佳4. 具有數位廣告相關經驗壓5. 統計學專長6. 具有分散式運算的相關知識，如 Spark、Hadoop、Hive7. 有使用過GCP, AWS 等雲端服務經驗佳","演算法開發工程師,軟體設計工程師,其他資訊專業人員","月薪40,000元以上",全職,台北市松山區,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,2人【相關條件】/,"上班族,應屆畢業生",不拘,大學以上- 公司產業：廣告行銷公關業,"數學及電算機科學學科類,電機電子工程相關",中文--聽 /精通、說 /精通、讀 /精通、寫 /精通,"Linux,Python,MS SQL","軟體工程系統開發,軟體程式設計,Machine Learning,資料庫程式設計【其他條件】/【公司福利】/- 福利制度：(1) 勞保、勞退、健保，新人教育訓練，週休二日(2) 彈性上下班 (每天1.5hr彈性, 同仁自選8hr) (3) 除一般假期外，另提供年休假、特別假、生日假(4) 國內尾牙旅遊 &amp; 國外員旅 https://www.clickforce.com.tw/edcontent_d.php?lang=tw&amp;tb=4&amp;id=1493 (5) 團康Party、部門聚餐、公司內外產業講座進修課程員工紅利,年終獎金,生日假,結婚禮金,員工進修補助,國內旅遊,國外旅遊,優於勞基法特休更多工作資訊請參考：https://www.104.com.tw/job/6shtp",無
AI Engineer_人工智慧工程師,全曜財經資訊股份有限公司,"【工作內容】/At CMoney, our mission is to assist people in their lifelong investment. To this end,we have already launched several services and apps to help users make decisionson different matters. So far CMoney has had the most popular stock mobile app andstock forum in Taiwan, where each has almost 800k monthly active users. Everydaymore than 100k articles and messages emerge from our apps and forum.Meanwhile, we collaborate with 50+ investment KOLs to help users succeed ininvestment. Currently, CMoney is at the fast-growing stage, and thus we are lookingfor brilliant talents to join our team, especially the ones with integrity, high socialinterest and growing mindset. For more detail of CMoney, please refer to thefollowing link: https://www.cmoney.tw/jobs/ .Our AI team focuses on utilizing natural language processing techniques includingtext classification and automatic summarization to enhance our products and to provide values to our users. Our AI team is also responsible for developing and establishing cross-product recommendation systems so that our products can offerbetter experience for the users. Moreover, our AI team has to design the scheme of lifelong machine learning to sustain our AI-powered services. If you not only love to keep track of the latest trend of AI development and techniques but also are passionate about implementing the relevant AI algorithms by yourself, we welcome you to join us.As such, you will:Design, develop, train, and integrate AI models to our services or productsAnalyze and diagnose the problems and bottlenecks of current AI modelsCollaborate with other product and data teams to propose and provide better solutionsMake CMoney service more intelligent, and make CMoney data more beneficial to the communityLast but not least make our customer success","軟體設計工程師,演算法開發工程師",待遇面議,全職,新北市板橋區,不需負擔管理責任,無需出差外派,日班,週休二日,可年後上班,2~3人【相關條件】/,"上班族,應屆畢業生,研發替代役",不拘,大學以上- 公司產業：電腦軟體服務業,"數學及電算機科學學科類,工程學科類,商業及管理學科類",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,"C,C++,Java,Python","軟體程式設計,Machine Learning【其他條件】/","1. BS/MS/Ph.D in EE, CS, IM, Statistics, and Applied Math or related field2. Familiar with at least one of the following machine learning frameworks: Weka, Scikit learn, Spark, PyTorch, and Tensorflow3. Ability to collect the data, train models, fine-tune models, and deploy models4. Broad knowledge of deep learning, machine learning, statistics, and optimization5. Experience in training on large-scale (TB) datasets and training on distributed environment is a plus【公司福利】/- 福利制度：《薪酬福利＠CMoney》➡薪資及獎金、節金具競爭力的整體薪酬制度，提供「自提調薪制度」，吸引、激勵並留任優秀人才依當年公司營運狀況及個人績效表現提供具競爭力的薪資、專案獎金及年終獎金。➡基本保障除勞健保、勞退保障，另提供團體保險➡活動及補助活動類：節慶活動、尾牙、慶生會、不定期公司/部門聚餐、電影包場、多元化的社團活動、各式零食保健食品補助類(全職任職滿六個月)：健身房補助、國內外旅遊補助。生活類：美式雙門大冰箱、零食/保健食品、咖啡機。➡學習與成長我們非常重視員工成長，除了提供良好的工作與進修環境(CMoney教育訓練中心)，更享有免費資源學習投資理財、購書補助。➡快樂生活我們認為孩子的成長只有一次，凡撫養未滿10歲子女，每個出勤工作日可提前於17:30下班，讓你有更多時間陪伴家人(全職適用)。另有合作幼兒園/托兒機構優惠。更多關於CMoney▶招募專頁：http://www.cmoney.tw/jobs/compensation-and-benefits.aspx▶官方網站：http://www.cmoney.com.tw更多工作資訊請參考：https://www.104.com.tw/job/6u1uz"
Senior/Junior AI Engineer AI工程師,迪威智能股份有限公司,"【工作內容】/職缺描述Responsibility:1. Design/Train/Develop new DeepWave’s AI models2. Refine/Re-train current AI models for DeepWave’s solutions.3. Provide APIs/brief demos while developing AI solutionsSenior Responsibility:1. Keep fetching SOTA methods/AI solutions and integrate/improve DeepWave’s solution2. Help to define and improve our internal standards for style, maintainability, and best practices for AI-heavy projects with members through code review.3. Help Junior to develop their technical skills/responsibility.Professional Skills:1. 1~2/3+ years relevant AI experience with Python/Scikit-Learn/Pytorch/TensorFlow/TF Lite/ONNX2. Ability on error analysis, data visualization e.g. matplotlib, …3. Experience on RESTFul API building using Flask/FastAPI4. Familiar with Git5. Familiar with deploying RESTFul API on AWS/local servers6. Comfortable and be able to develop with open source. :D7. Self-motivated, self-managed, and passionate on what we do.8. Strong technical communication skills.9. Team-work spirit, be nice and respectful to othersNice to have:Experience working with a remote teamExperience in a startup environment","演算法開發工程師,軟體設計工程師,韌體設計工程師","月薪60,000~120,000元",全職,台北市大安區,管理人數未定,無需出差外派,日班,依公司規定,不限,1~2人【相關條件】/,"上班族,應屆畢業生,外籍人士,學生實習",不拘,不拘- 公司產業：其它軟體及網路相關業,不拘,不拘,不拘,"不拘【其他條件】/【公司福利】/- 福利制度：工時/特休彈性工時，彈性遠端，入職後即可享按年比例之特休15天福利/推薦項公司提供筆電不定期聚餐/Team Building員工旅遊近捷運忠孝敦化，交通方便美食眾多員工紅利,員工認股,年終獎金,新人假,國內旅遊,國外旅遊,優於勞基法特休更多工作資訊請參考：https://www.104.com.tw/job/7ecqj",無
AI 工程師 Junior AI Engineer,賽席爾商極光科技有限公司,"【工作內容】/We are looking for a person who is excited to thrives in cooperative growing team and who loves learning new technologies. We expect that you will have strong motivation as Junior Back-end Engineer who is eager to tackle challenging troubleshooting and adapt in this fast-pace environment. -  Be able to perform API operation and maintenance-  Have knowledge of API third party integration-  Experience of Deep Learning, machine learning and Artificial Intelligence.-  Experience working with modern Deep Learning techniques, framework and applications, Python, DL framework (e.g Tensorflow, Keras, PyTorch...)Us e machine learning and analytical techniques to build prediction model for advertising solutions.- Design, develop and test advanced models for predictive consumer behavior- Design efficient, scalable, automated processes for large scale data analyses, model development, model validation and model implementation- Research and evaluate pioneering machine learning and statistical model	- Familiar with GIT controlling system and understand branching model(git flow, Github flow)- Have fundamental knowledge of internet service and understand RESTful API style- Self-motivated, willing to think outside the box and discover new technologies.- Good communication and personal skills: ability to interact and work well with members of other functional groups in a project team and a strong sense of project ownership","軟體設計工程師,演算法開發工程師",待遇面議,全職,台北市中山區,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1~2人【相關條件】/,"上班族,應屆畢業生,原住民,二度就業,中壯齡",不拘,專科以上- 公司產業：電腦軟體服務業,不拘,不拘,不拘,"軟體工程系統開發,軟體程式設計,Machine Learning【其他條件】/","【其他條件】 ： 【Other Conditions】 :-有個人網頁連結或是相關程式請附上--Please attached your portfolio link if any-【加分條件 (非必要條件)】： 【Bonus Conditions (Not necessarily)】 :1.	代碼重構 / Refactor2.	設計模式 / Design pattern3.	Docker4.	MVC5.	Linux 環境架設與程式佈署Experience in Linux build environment establishing, software deployment 6.	雲端佈署經驗 AWS, Azure, Linode, Digitial Ocean Cloud Deployment experience 7.	有串接第三方金流、社群媒體、電商相關經驗With experience in connecting third party payment, social media, e-commerce 【公司福利】/- 福利制度：◆ 薪資及獎金 ◆1. 保障年薪2. 公司績效獎金3. 結婚禮金◆ 休假制度 ◆1. 年假及特休 2. 每月生理假3. 婚喪假及產假4. 彈性上下班時間5. 週休二日◆ 保險類 ◆1. 職災保險2. 勞健保◆ 休閒類 ◆1. 每月員工慶生會 2. 不定期的員工聚餐3. 每月免費零食，飲料無限享用 4. 不定期舉辦員工活動(聖誕Party、尾牙)5. 增進交流的讀書會◆ 其他 ◆1. 國泰健康檢查2. 提供員工訓練補助，鼓勵夥伴們學習新技能互相交流！年終獎金,專業證照獎金,零食櫃,部門聚餐,慶生會,免費下午茶,優於勞基法特休更多工作資訊請參考：https://www.104.com.tw/job/78loz"
AI工程師,中鼎集團_新鼎系統股份有限公司,【工作內容】/負責大數據應用/Deep learning應用解決方案與技術實作,"演算法開發工程師,軟體設計工程師,其他資訊專業人員",待遇面議,全職,台北市北投區,不需負擔管理責任,需出差，一年累積時間未定,日班,週休二日,不限,1~2人【相關條件】/,上班族,2年以上,大學、碩士- 公司產業：電腦系統整合服務業,"數理統計相關,資訊工程相關,化學工程相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,Python,不拘【其他條件】/,"1.熟悉並實作溝通深度學習如CNN/RNN/LSTM等演算法2.熟悉AI相關演算法，如Reinforcement learning 3.熟悉影像及聲音處理【公司福利】/- 福利制度：1. 除勞、健保外、另享有團保(壽險、職災險、意外險)等多項保障    2. 完善退休制度3. 週休二日,彈性上下班   4. 另有職工福利委員會--生日禮金、結婚禮金、子女教育獎學金、國內外旅遊補助及其他各社團活動等健全福利制度更多工作資訊請參考：https://www.104.com.tw/job/77upy"
AI工程師 (AI Engineer),卡洛地股份有限公司,"【工作內容】/我們是微軟金級Azure CSP 合作夥伴，銷售微軟Azure 相關產品，已開發令人耳目一新的雲端管理平台 (Cloud Management Platform)，如果你細心、積極、主動、負責任、善於溝通，擁有雲端開發資歷背景，歡迎加入我們的行列。Responsibilities:•         Research and implement cutting-edge Machine Learning/Deep Learning techniques•         Using time series forecasting methods to forecast cloud usage trends and identify anomalies•         Applying NLP to current product 工作內容：•         研究與運用目前最新的 ML/DL 演算法•         運用時間序列資料與模型進行異常分析與預測•         運用 NLP 於公司產品雲端資源管理平台之中 Requirements:•         Confident in implementing state-of-the-art models using Python•         Solid background in Statistics•         Familiar with popular Machine Learning Algorithms (eg. RNN/LSTM &amp; CNN family)•         Familiar with algorithms of Transferred Learning and Reinforcement Learning•         Familiar with Linux, Git, and SQL•         Capable of pre-processing raw data using various visualization, detection, transforming techniques 必要條件：•         根據論文內容實作出演算法預測模型的能力•         紮實的統計觀念•         熟悉常見的 ML/DL 演算法 (如 RNN/LSTM 與 CNN 等)•         熟悉 Transferred Learning and Reinforcement Learning 等演算法•         熟悉 Linux、Git、與 SQL•         有資料前處理的能力Preferred Qualifications:•         Working knowledge in one of the popular deep learning frameworks (eg. Pytorch, Keras, and TensorFlow)•         Understanding of time series data &amp; models•         Past experience in NLP•         Familiar with C# Web API, .NET Core•         Familiar with Azure/AWS/GCP Platform 加分條件:•         熟悉常用的深度學習框架如 PyTorch、Keras、TensorFlow 等•         了解時間序列資料與模型•         曾運用過 NLP•         熟悉 C# Web API 與 .NET Core•         熟悉 Azure/AWS/GCP 雲端平台Please Provide:•         Your resume•         Github/Kaggle link (Preferred, not required)•         Additional documentations such as ML/DL related thesis or project (Preferred, not required) 請附上:•         您的履歷•         您的 GitHub/Kaggle 連結 (加分，非必要)•         您的 ML/DL 相關畢業論文或專題 (加分，非必要)","軟體設計工程師,系統分析師,其他資訊專業人員",待遇面議,全職,台北市信義區,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1~3人【相關條件】/,"上班族,應屆畢業生",2年以上,專科以上- 公司產業：電腦軟體服務業,不拘,英文--聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘,不拘【其他條件】/【公司福利】/- 福利制度：◆ 保險1.勞保、勞工退休金提撥 2.健保 ◆ 升遷與教育訓練 1.輔導微軟認證，提供考試補貼與獎金2.外部訓練補助 3.多元職涯規劃◆ 彈性與福利1.當月發放薪資2.Work-Life Balance 工作與生活平衡3.週休二日 4.依法令規定給予休假5.員工獨立自主性管理 6.定期員工聚餐 7.飲料及零食無限量供應Employee benefits include:- Comfortable working environment with awesome view- Enjoy the unlimited supply of drinks and snacks- Participate in aperiodic social events- Work-life balance environment更多工作資訊請參考：https://www.104.com.tw/job/70h72,無
AI工程師,美律實業股份有限公司,【工作內容】/1、分析各種數據與建立辨識建模，針對專案或其他內部需求進行大數據分析。2、執行交辦事項，搜尋、製作新技術、論文之閱後報告，參加外部AI競賽。3、支援電聲技術論壇、電聲論文獎活動。,演算法開發工程師,待遇面議,全職,台中市南屯區,不需負擔管理責任,需出差，一年累積時間約三個月以下,日班,依公司規定,不限,1人【相關條件】/,"上班族,應屆畢業生",不拘,碩士- 公司產業：消費性電子產品製造業,"電機電子工程相關,資訊工程相關,數理統計相關",英文--聽 /精通、說 /精通、讀 /精通、寫 /精通,"Windows 10,Python",Machine Learning【其他條件】/,"1、資訊工程系所或其他理工系所碩士畢業，邏輯思維佳，論文研究主題為深度學習應用相關主題研究。2、熟悉機器學習、深度學習、大數據分析原理及相關框架套件之使用。3、熟悉訊號分析演算法，懂語音分析尤佳。4、熟悉程式語言及邏輯架構。5、外語能力佳、熟悉文書軟體操作、及具樂觀進取、積極主動、團隊合作等特質。【公司福利】/- 福利制度：OUR BENEFITS《暖心新生活，盡在美律！》1【成果共享】Outcome Sharing保障年薪14個月、員工分紅、年度調薪、股票激勵措施2【優於法令】Work &amp; Life Balance彈性工時、志工假、親屬婚假(子女或手足結婚)、派駐人員返台假(額外給假)、新人加入即可享有3天特休假、補班日無需出勤(給薪)3【安心保障】Compensation &amp; Insurance法定-勞/健保、退休金提撥公司-團體保險、意外醫療保險、旅行平安險、員工年度健檢、職場健康管理生活-婚喪/生育及住院津貼、急難救助、用餐津貼4【多元獎勵】Multiple Incentives生日/勞動節禮券、員工/子女獎學金、員工推薦獎金、年度優秀及資深員工表揚5【個人成長】Training Opportunities完善的教育訓練、暢通的晉升管道、訓練費用無上限、各式主題講座舉辦6【暖心活動】Team Activities家庭日、親子手作活動、年度員旅、旅遊補助、聚餐(季/中秋/年終)、社團活動7【溫馨空間】Warm Environment圖書中心、紓壓按摩、健身房、哺乳室8【其他福利】Other Benefits音樂會聆賞、電影票卷部門聚餐,社團活動,家庭日,員工紅利,員工認股,結婚禮金,生育津貼,社團補助,員工進修補助,子女教育獎助學金,旅遊補助,急難補助,伙食津貼,年終獎金更多工作資訊請參考：https://www.104.com.tw/job/7bmvl"
AI 工程師,天一電子股份有限公司,【工作內容】/(1)特徵工程(必備)具備統計分析能力，能夠透過統計分析big data，並取出有用的特徵欄位(含關聯性分析)(2)熟悉Python、AI self-learning(尤佳)(3)能夠熟悉SCADA工業控制系統運作(尤佳),軟體設計工程師,待遇面議,全職,新竹縣竹東鎮,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1人【相關條件】/,上班族,不拘,大學以上- 公司產業：其他半導體相關業,不拘,不拘,"C++,Java,Python",軟體程式設計【其他條件】/【公司福利】/- 福利制度：◆ 獎金 / 禮品類1.年終獎金2.三節禮金/禮品3.勞動節獎金/禮品4.生日禮金/禮品◆ 保險類1.員工團保2.意外險3.職災保險◆ 休閒類1.部門聚餐2.員工旅遊 ◆ 制度類1.伙食費2.誤餐費3.績效獎金4.員工提案獎金5.完整的教育訓練6.順暢的升遷管道◆ 請 / 休假制度1.特休/年假◆ 其他1.免費員工健康檢查◆ 補助類1.結婚禮金2.生育津貼3.住院慰問金4.喪葬慰問金更多工作資訊請參考：https://www.104.com.tw/job/7dfse,無
AI工程師,博智電子股份有限公司,【工作內容】/1.AI演算法開發和應用:機器學習、深度學習2.優化AI執行效能與準確度3.依專案需求，參與系統架構流程規劃4.具統計分析、資料建模能力,"軟體設計工程師,系統分析師,演算法開發工程師",待遇面議,全職,桃園市龍潭區,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,2人【相關條件】/,"上班族,應屆畢業生",不拘,專科、大學、碩士- 公司產業：印刷電路板製造業(PCB),"資訊工程相關,電機電子工程相關,其他數學及電算機科學相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,"C,C#,Java,Python",不拘【其他條件】/,1.數據清理能力、特徵工程、模型建置與調校經驗2.將專案產出轉為交付文件的文件化能力3.需有清晰的邏輯分析能力、獨立完成專案的能力4.具製造業經驗尤佳【公司福利】/- 福利制度：★團體意外保險★提供外縣市員工住宿★三節禮券★生日禮金★婚喪喜慶津貼★傷病住院慰問金★年度旅遊★完善教育訓練等項福利更多工作資訊請參考：https://www.104.com.tw/job/7ewrk
