,工作名稱,公司,工作內容,Linux,Python,MS SQL,C,C++,Java,不拘,Windows 10,C#,Git,UNIX,Excel,PowerPoint,Word,Ruby,ASP.NET,PHP,MySQL,JavaScript,jQuery,Outlook,Oracle,PL/SQL,PostgreSQL,HTML,CSS,Windows Server 2008,Android,iOS,Go,Socket,RTSP,Node.js,AJAX
0,AI工程師/資料工程師/資料科學家/機器學習工程師,域動行銷股份有限公司,"【工作內容】/【熱血團隊】域動Data Team是由一群對『數據分析』及『AI應用』具有研究及開發熱誠的成員所組成。在這裡你可以接觸到大量即時的使用者行為資料，並將資料科學模型應用於:『網路廣告投放優化』『網路用戶辨識』『消費者行為分析』我們更致力於尋找優化方案，改善產品體驗設計及為商業決策提供數據支持，提升效率和價值。我們鼓勵組員多方嘗試、思考、展現天馬行空的創意，且能清楚闡述想法，付諸實踐。 ٩(⚙ᴗ⚙)۶【環境氛圍】扁平化組織、歡樂上班氛圍，彼此隨時交流分享想法，不受任何侷限ㄟ(￣▽￣ㄟ)。總之，在Data Team不但可以接觸多元專案開發，藉此磨練專業知識的深度及廣度，幫助團隊的同時，也能突破自我，大幅成長。 ୧༼ ヘ ᗜ ヘ ༽୨歡迎您一起加入，成為未來數據應用趨勢的一份子！o(〃'▽'〃)o【Job Description】1. 使用資料科學技術剖析數據，協助產品成效優化及發展方向2. 負責資料收集、資料清理、模型建置等工作事項3. 協助處理網路使用者觀看的文本，進行關鍵字擷取、文本分類等NLP任務4. 廣告推薦系統建置及優化5. 數據視覺化報表產出【Qualifications】1. 熟悉 ML 相關知識2. 熟悉Python程式語言，包含Pandas, Numpy, Sklearn,Tensorflow, Pytorch等模組3. 熟悉Linux 系統操作4. 熟悉資料庫程式語言 SQL【Preferred Qualifications】1. 推薦系統處理專案經驗佳2. 自然語言處理專案經驗佳3. 曾參與ML相關研究、競賽或發表論文經驗佳4. 具有數位廣告相關經驗壓5. 統計學專長6. 具有分散式運算的相關知識，如 Spark、Hadoop、Hive7. 有使用過GCP, AWS 等雲端服務經驗佳",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AI Engineer_人工智慧工程師,全曜財經資訊股份有限公司,"【工作內容】/At CMoney, our mission is to assist people in their lifelong investment. To this end,we have already launched several services and apps to help users make decisionson different matters. So far CMoney has had the most popular stock mobile app andstock forum in Taiwan, where each has almost 800k monthly active users. Everydaymore than 100k articles and messages emerge from our apps and forum.Meanwhile, we collaborate with 50+ investment KOLs to help users succeed ininvestment. Currently, CMoney is at the fast-growing stage, and thus we are lookingfor brilliant talents to join our team, especially the ones with integrity, high socialinterest and growing mindset. For more detail of CMoney, please refer to thefollowing link: https://www.cmoney.tw/jobs/ .Our AI team focuses on utilizing natural language processing techniques includingtext classification and automatic summarization to enhance our products and to provide values to our users. Our AI team is also responsible for developing and establishing cross-product recommendation systems so that our products can offerbetter experience for the users. Moreover, our AI team has to design the scheme of lifelong machine learning to sustain our AI-powered services. If you not only love to keep track of the latest trend of AI development and techniques but also are passionate about implementing the relevant AI algorithms by yourself, we welcome you to join us.As such, you will:Design, develop, train, and integrate AI models to our services or productsAnalyze and diagnose the problems and bottlenecks of current AI modelsCollaborate with other product and data teams to propose and provide better solutionsMake CMoney service more intelligent, and make CMoney data more beneficial to the communityLast but not least make our customer success",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Senior/Junior AI Engineer AI工程師,迪威智能股份有限公司,"【工作內容】/職缺描述Responsibility:1. Design/Train/Develop new DeepWave’s AI models2. Refine/Re-train current AI models for DeepWave’s solutions.3. Provide APIs/brief demos while developing AI solutionsSenior Responsibility:1. Keep fetching SOTA methods/AI solutions and integrate/improve DeepWave’s solution2. Help to define and improve our internal standards for style, maintainability, and best practices for AI-heavy projects with members through code review.3. Help Junior to develop their technical skills/responsibility.Professional Skills:1. 1~2/3+ years relevant AI experience with Python/Scikit-Learn/Pytorch/TensorFlow/TF Lite/ONNX2. Ability on error analysis, data visualization e.g. matplotlib, …3. Experience on RESTFul API building using Flask/FastAPI4. Familiar with Git5. Familiar with deploying RESTFul API on AWS/local servers6. Comfortable and be able to develop with open source. :D7. Self-motivated, self-managed, and passionate on what we do.8. Strong technical communication skills.9. Team-work spirit, be nice and respectful to othersNice to have:Experience working with a remote teamExperience in a startup environment",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,AI 工程師 Junior AI Engineer,賽席爾商極光科技有限公司,"【工作內容】/We are looking for a person who is excited to thrives in cooperative growing team and who loves learning new technologies. We expect that you will have strong motivation as Junior Back-end Engineer who is eager to tackle challenging troubleshooting and adapt in this fast-pace environment. -  Be able to perform API operation and maintenance-  Have knowledge of API third party integration-  Experience of Deep Learning, machine learning and Artificial Intelligence.-  Experience working with modern Deep Learning techniques, framework and applications, Python, DL framework (e.g Tensorflow, Keras, PyTorch...)Us e machine learning and analytical techniques to build prediction model for advertising solutions.- Design, develop and test advanced models for predictive consumer behavior- Design efficient, scalable, automated processes for large scale data analyses, model development, model validation and model implementation- Research and evaluate pioneering machine learning and statistical model	- Familiar with GIT controlling system and understand branching model(git flow, Github flow)- Have fundamental knowledge of internet service and understand RESTful API style- Self-motivated, willing to think outside the box and discover new technologies.- Good communication and personal skills: ability to interact and work well with members of other functional groups in a project team and a strong sense of project ownership",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,AI工程師,中鼎集團_新鼎系統股份有限公司,【工作內容】/負責大數據應用/Deep learning應用解決方案與技術實作,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AI工程師 (AI Engineer),卡洛地股份有限公司,"【工作內容】/我們是微軟金級Azure CSP 合作夥伴，銷售微軟Azure 相關產品，已開發令人耳目一新的雲端管理平台 (Cloud Management Platform)，如果你細心、積極、主動、負責任、善於溝通，擁有雲端開發資歷背景，歡迎加入我們的行列。Responsibilities:•         Research and implement cutting-edge Machine Learning/Deep Learning techniques•         Using time series forecasting methods to forecast cloud usage trends and identify anomalies•         Applying NLP to current product 工作內容：•         研究與運用目前最新的 ML/DL 演算法•         運用時間序列資料與模型進行異常分析與預測•         運用 NLP 於公司產品雲端資源管理平台之中 Requirements:•         Confident in implementing state-of-the-art models using Python•         Solid background in Statistics•         Familiar with popular Machine Learning Algorithms (eg. RNN/LSTM &amp; CNN family)•         Familiar with algorithms of Transferred Learning and Reinforcement Learning•         Familiar with Linux, Git, and SQL•         Capable of pre-processing raw data using various visualization, detection, transforming techniques 必要條件：•         根據論文內容實作出演算法預測模型的能力•         紮實的統計觀念•         熟悉常見的 ML/DL 演算法 (如 RNN/LSTM 與 CNN 等)•         熟悉 Transferred Learning and Reinforcement Learning 等演算法•         熟悉 Linux、Git、與 SQL•         有資料前處理的能力Preferred Qualifications:•         Working knowledge in one of the popular deep learning frameworks (eg. Pytorch, Keras, and TensorFlow)•         Understanding of time series data &amp; models•         Past experience in NLP•         Familiar with C# Web API, .NET Core•         Familiar with Azure/AWS/GCP Platform 加分條件:•         熟悉常用的深度學習框架如 PyTorch、Keras、TensorFlow 等•         了解時間序列資料與模型•         曾運用過 NLP•         熟悉 C# Web API 與 .NET Core•         熟悉 Azure/AWS/GCP 雲端平台Please Provide:•         Your resume•         Github/Kaggle link (Preferred, not required)•         Additional documentations such as ML/DL related thesis or project (Preferred, not required) 請附上:•         您的履歷•         您的 GitHub/Kaggle 連結 (加分，非必要)•         您的 ML/DL 相關畢業論文或專題 (加分，非必要)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AI工程師,美律實業股份有限公司,【工作內容】/1、分析各種數據與建立辨識建模，針對專案或其他內部需求進行大數據分析。2、執行交辦事項，搜尋、製作新技術、論文之閱後報告，參加外部AI競賽。3、支援電聲技術論壇、電聲論文獎活動。,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,AI 工程師,天一電子股份有限公司,【工作內容】/(1)特徵工程(必備)具備統計分析能力，能夠透過統計分析big data，並取出有用的特徵欄位(含關聯性分析)(2)熟悉Python、AI self-learning(尤佳)(3)能夠熟悉SCADA工業控制系統運作(尤佳),0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,AI工程師,博智電子股份有限公司,【工作內容】/1.AI演算法開發和應用:機器學習、深度學習2.優化AI執行效能與準確度3.依專案需求，參與系統架構流程規劃4.具統計分析、資料建模能力,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,AI工程師,慧術科技股份有限公司,【工作內容】/工作內容1. 影像處理、物件偵測與辨識等相關演算法開發。 2. 以影像為基礎之機器學習/深度學習演算法開發。 3. 參與專案規劃與架構流程4. 具有醫學背景5. 滿兩年工作經驗,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
